hotel,预订总数,取消率,平均ADR,平均提前天数,平均住宿晚数,回头客比例
City Hotel,79329,0.42,105.24,109.74,2.98,0.03
Resort Hotel,40059,0.28,94.96,92.67,4.32,0.04
