market_segment,预订数量,取消率,平均ADR,平均提前天数,平均住宿晚数
Online TA,56477,0.37,117.2,83.0,3.57
Offline TA/TO,24218,0.34,87.14,135.01,3.9
Groups,19810,0.61,79.48,186.97,2.99
Direct,12606,0.15,115.45,49.86,3.21
Corporate,5295,0.19,69.36,22.13,2.09
Complementary,743,0.13,2.89,13.29,1.65
Aviation,237,0.22,100.14,4.44,3.61
Undefined,2,1.0,15.0,1.5,1.5
