arrival_date_month,预订数量,取消率,平均ADR,平均提前天数
January,5929,0.3,70.36,45.31
February,8068,0.33,73.58,47.86
March,9792,0.32,80.15,70.11
April,11089,0.41,100.38,94.82
May,11791,0.4,108.7,117.65
June,10939,0.41,116.67,128.25
July,12661,0.37,126.79,136.32
August,13877,0.38,140.11,121.14
September,10508,0.39,105.05,136.68
October,11160,0.38,87.91,122.99
November,6794,0.31,73.79,76.58
December,6780,0.35,81.08,73.56
